time_stamp,humidity,temperature,pm2.5_atm
2025-01-01T00:00:00-08:00,60,51,20.1
2025-01-01T00:30:00-08:00,59,51,25.6
2025-01-01T01:00:00-08:00,59,50,23.1
2025-01-01T01:30:00-08:00,60,49,19.8
2025-01-01T02:00:00-08:00,61,48,15.8
2025-01-01T02:30:00-08:00,61,47,7
2025-01-01T03:00:00-08:00,61,47,2.7
2025-01-01T03:30:00-08:00,62,46,5.7
2025-01-01T04:00:00-08:00,62,46,7
2025-01-01T04:30:00-08:00,63,46,6.9
2025-01-01T05:00:00-08:00,63,45,7.1
2025-01-01T05:30:00-08:00,64,45,10.3
2025-01-01T06:00:00-08:00,64,45,6.1
2025-01-01T06:30:00-08:00,63,46,2.3
2025-01-01T07:00:00-08:00,63,46,1.9
2025-01-01T07:30:00-08:00,63,46,4.6
2025-01-01T08:00:00-08:00,64,47,9.4
2025-01-01T08:30:00-08:00,64,51,22.6
2025-01-01T09:00:00-08:00,56,55,18.3
2025-01-01T09:30:00-08:00,50,58,14.5
2025-01-01T10:00:00-08:00,47,59,14.6
2025-01-01T10:30:00-08:00,46,61,17.2
2025-01-01T11:00:00-08:00,45,62,18.3
2025-01-01T11:30:00-08:00,42,64,16.4
2025-01-01T12:00:00-08:00,39,66,12.8
2025-01-01T12:30:00-08:00,37,67,12.4
2025-01-01T13:00:00-08:00,42,64,12.3
2025-01-01T13:30:00-08:00,42,63,11.1
2025-01-01T14:00:00-08:00,41,63,10.6
2025-01-01T14:30:00-08:00,42,63,13.4
2025-01-01T15:00:00-08:00,44,63,17.2
2025-01-01T15:30:00-08:00,48,62,17.9
2025-01-01T16:00:00-08:00,52,61,14.3
2025-01-01T16:30:00-08:00,55,61,15.9
2025-01-01T17:00:00-08:00,56,60,11.9
2025-01-01T17:30:00-08:00,53,61,11.5
2025-01-01T18:00:00-08:00,55,60,10.6
2025-01-01T18:30:00-08:00,60,59,9.9
2025-01-01T19:00:00-08:00,61,59,9.9
2025-01-01T19:30:00-08:00,62,58,10.1
2025-01-01T20:00:00-08:00,63,57,10.7
2025-01-01T20:30:00-08:00,64,56,16.4
2025-01-01T21:00:00-08:00,65,56,20.9
2025-01-01T21:30:00-08:00,65,56,20.5
2025-01-01T22:00:00-08:00,66,56,21.7
2025-01-01T22:30:00-08:00,67,55,23.9
2025-01-01T23:00:00-08:00,67,54,25
2025-01-01T23:30:00-08:00,66,54,21.8
2025-01-02T00:00:00-08:00,66,53,18.1
2025-01-02T00:30:00-08:00,67,53,15.8
2025-01-02T01:00:00-08:00,67,53,14.9
2025-01-02T01:30:00-08:00,66,52,14.1
2025-01-02T02:00:00-08:00,66,52,13.1
2025-01-02T02:30:00-08:00,67,52,11.5
2025-01-02T03:00:00-08:00,67,52,10.7
2025-01-02T03:30:00-08:00,67,51,10.4
2025-01-02T04:00:00-08:00,67,51,9.5
2025-01-02T04:30:00-08:00,67,51,7.9
2025-01-02T05:00:00-08:00,67,51,8.2
2025-01-02T05:30:00-08:00,66,51,9.2
2025-01-02T06:00:00-08:00,67,51,10
2025-01-02T06:30:00-08:00,67,50,10.5
2025-01-02T07:00:00-08:00,67,50,11.1
2025-01-02T07:30:00-08:00,67,51,11.7
2025-01-02T08:00:00-08:00,68,52,14.4
2025-01-02T08:30:00-08:00,65,55,16.9
2025-01-02T09:00:00-08:00,62,58,16.3
2025-01-02T09:30:00-08:00,58,59,16.9
2025-01-02T10:00:00-08:00,54,61,16.9
2025-01-02T10:30:00-08:00,52,62,18
2025-01-02T11:00:00-08:00,49,63,15.2
2025-01-02T11:30:00-08:00,47,65,11.6
2025-01-02T12:00:00-08:00,45,66,10.7
2025-01-02T12:30:00-08:00,44,68,11.8
2025-01-02T13:00:00-08:00,43,69,11.8
2025-01-02T13:30:00-08:00,43,70,12.3
2025-01-02T14:00:00-08:00,43,70,11.7
2025-01-02T14:30:00-08:00,42,70,10.5
2025-01-02T15:00:00-08:00,40,72,14.4
2025-01-02T15:30:00-08:00,40,72,12.9
2025-01-02T16:00:00-08:00,45,69,11.7
2025-01-02T16:30:00-08:00,50,66,14.7
2025-01-02T17:00:00-08:00,52,65,14
2025-01-02T17:30:00-08:00,54,64,13.1
2025-01-02T18:00:00-08:00,56,62,12.8
2025-01-02T18:30:00-08:00,58,61,13.2
2025-01-02T19:00:00-08:00,59,60,15.6
2025-01-02T19:30:00-08:00,61,60,16
2025-01-02T20:00:00-08:00,62,59,23.1
2025-01-02T20:30:00-08:00,62,58,24.3
2025-01-02T21:00:00-08:00,63,57,22.8
2025-01-02T21:30:00-08:00,63,56,22.2
2025-01-02T22:00:00-08:00,65,56,22.6
2025-01-02T22:30:00-08:00,66,56,21.9
2025-01-02T23:00:00-08:00,66,56,21.4
2025-01-02T23:30:00-08:00,66,56,20.6
2025-01-03T00:00:00-08:00,69,55,22.4
2025-01-03T00:30:00-08:00,67,56,21.9
2025-01-03T01:00:00-08:00,68,56,22.9
2025-01-03T01:30:00-08:00,68,55,22.5
2025-01-03T02:00:00-08:00,69,55,23.1
2025-01-03T02:30:00-08:00,70,54,24.8
2025-01-03T03:00:00-08:00,70,55,24.7
2025-01-03T03:30:00-08:00,69,55,25.4
2025-01-03T04:00:00-08:00,69,55,25.6
2025-01-03T04:30:00-08:00,70,55,25.4
2025-01-03T05:00:00-08:00,71,56,22.7
2025-01-03T05:30:00-08:00,70,57,22.2
2025-01-03T06:00:00-08:00,69,58,22.5
2025-01-03T06:30:00-08:00,71,58,26.2
2025-01-03T07:00:00-08:00,74,57,27.7
2025-01-03T07:30:00-08:00,73,58,24.6
2025-01-03T08:00:00-08:00,73,58,24.1
2025-01-03T08:30:00-08:00,70,59,23.3
2025-01-03T09:00:00-08:00,71,60,22.1
2025-01-03T09:30:00-08:00,73,59,23.6
2025-01-03T10:00:00-08:00,74,59,21.4
2025-01-03T10:30:00-08:00,74,60,18.5
2025-01-03T11:00:00-08:00,74,61,17.7
2025-01-03T11:30:00-08:00,73,62,11.8
2025-01-03T12:00:00-08:00,72,63,7.4
2025-01-03T12:30:00-08:00,71,64,6.3
2025-01-03T13:00:00-08:00,67,65,3.4
2025-01-03T13:30:00-08:00,65,65,0.2
2025-01-03T14:00:00-08:00,64,65,0.1
2025-01-03T14:30:00-08:00,63,66,0.1
2025-01-03T15:00:00-08:00,62,64,0.6
2025-01-03T15:30:00-08:00,63,64,1.2
2025-01-03T16:00:00-08:00,64,62,1.5
2025-01-03T16:30:00-08:00,67,62,1.8
2025-01-03T17:00:00-08:00,69,61,2
2025-01-03T17:30:00-08:00,69,60,2
2025-01-03T18:00:00-08:00,70,59,2.5
2025-01-03T18:30:00-08:00,71,59,2.7
2025-01-03T19:00:00-08:00,70,58,4.7
2025-01-03T19:30:00-08:00,70,57,8.4
2025-01-03T20:00:00-08:00,69,56,15.7
2025-01-03T20:30:00-08:00,71,55,11
2025-01-03T21:00:00-08:00,70,55,11
2025-01-03T21:30:00-08:00,69,54,11.3
2025-01-03T22:00:00-08:00,70,53,12.3
2025-01-03T22:30:00-08:00,71,54,12.4
2025-01-03T23:00:00-08:00,71,54,9.9
2025-01-03T23:30:00-08:00,71,53,8.2
2025-01-04T00:00:00-08:00,71,53,7.2
2025-01-04T00:30:00-08:00,70,52,6.6
2025-01-04T01:00:00-08:00,70,52,6.2
2025-01-04T01:30:00-08:00,70,51,5.5
2025-01-04T02:00:00-08:00,73,51,5.8
2025-01-04T02:30:00-08:00,71,50,5.6
