time_stamp,humidity,temperature,pm2.5_atm
2025-01-26T08:00:00-08:00,34,66,2.7
2025-01-26T08:30:00-08:00,39,59,2.2
2025-01-26T09:00:00-08:00,40,56,1.3
2025-01-26T09:30:00-08:00,38,55,0.8
2025-01-26T10:00:00-08:00,30,64,0.8
2025-01-26T10:30:00-08:00,26,68,0.7
2025-01-26T11:00:00-08:00,27,64,0.6
2025-01-26T11:30:00-08:00,25,68,0.5
2025-01-26T12:00:00-08:00,23,70,0.5
2025-01-26T12:30:00-08:00,22,72,0.5
2025-01-26T13:00:00-08:00,22,72,0.8
2025-01-26T13:30:00-08:00,23,72,1.9
2025-01-26T14:00:00-08:00,20,79,1
2025-01-26T14:30:00-08:00,19,79,0.6
2025-01-26T15:00:00-08:00,18,73,0.4
2025-01-26T15:30:00-08:00,19,72,0.4
2025-01-26T16:00:00-08:00,19,70,0.4
2025-01-26T16:30:00-08:00,19,68,0.3
2025-01-26T17:00:00-08:00,21,66,0.6
2025-01-26T17:30:00-08:00,24,63,3.7
2025-01-26T18:00:00-08:00,26,61,3
2025-01-26T18:30:00-08:00,28,58,10.3
2025-01-26T19:00:00-08:00,30,57,1.4
2025-01-26T19:30:00-08:00,31,55,2.2
2025-01-26T20:00:00-08:00,33,54,4
2025-01-26T20:30:00-08:00,35,53,5
2025-01-26T21:00:00-08:00,38,52,5.2
2025-01-26T21:30:00-08:00,37,51,3.7
2025-01-26T22:00:00-08:00,38,51,3.9
2025-01-26T22:30:00-08:00,38,50,1.7
2025-01-26T23:00:00-08:00,38,50,3.6
2025-01-26T23:30:00-08:00,38,50,4
2025-01-27T00:00:00-08:00,39,49,2.9
2025-01-27T00:30:00-08:00,39,49,2.9
2025-01-27T01:00:00-08:00,40,48,3.4
2025-01-27T01:30:00-08:00,41,48,1.8
2025-01-27T02:00:00-08:00,42,47,2
2025-01-27T02:30:00-08:00,43,47,2.9
2025-01-27T03:00:00-08:00,43,46,1.9
2025-01-27T03:30:00-08:00,43,46,1.8
2025-01-27T04:00:00-08:00,43,46,2
2025-01-27T04:30:00-08:00,43,46,2.4
2025-01-27T05:00:00-08:00,43,46,1.6
2025-01-27T05:30:00-08:00,43,46,1.5
2025-01-27T06:00:00-08:00,43,45,1.7
2025-01-27T06:30:00-08:00,44,45,2.5
2025-01-27T07:00:00-08:00,45,44,2.6
2025-01-27T07:30:00-08:00,46,45,3.3
2025-01-27T08:00:00-08:00,45,46,3.5
2025-01-27T08:30:00-08:00,40,53,6.1
2025-01-27T09:00:00-08:00,23,75,5.9
2025-01-27T09:30:00-08:00,20,76,7.1
2025-01-27T10:00:00-08:00,21,75,9.2
2025-01-27T10:30:00-08:00,20,76,7.7
2025-01-27T11:00:00-08:00,20,74,6.2
2025-01-27T11:30:00-08:00,20,74,4.6
2025-01-27T12:00:00-08:00,19,76,4.2
2025-01-27T12:30:00-08:00,14,85,2.1
2025-01-27T13:00:00-08:00,11,91,2.2
2025-01-27T13:30:00-08:00,11,92,2.5
2025-01-27T14:00:00-08:00,11,90,2.4
2025-01-27T14:30:00-08:00,12,88,2.6
2025-01-27T15:00:00-08:00,14,81,3.1
2025-01-27T15:30:00-08:00,16,77,3.7
2025-01-27T16:00:00-08:00,17,74,4.1
2025-01-27T16:30:00-08:00,20,71,5.8
2025-01-27T17:00:00-08:00,21,68,3.6
2025-01-27T17:30:00-08:00,24,66,3.4
2025-01-27T18:00:00-08:00,26,64,4.9
2025-01-27T18:30:00-08:00,29,61,4.5
2025-01-27T19:00:00-08:00,31,59,4.8
2025-01-27T19:30:00-08:00,33,58,6.8
2025-01-27T20:00:00-08:00,34,57,8.2
2025-01-27T20:30:00-08:00,34,56,6.1
2025-01-27T21:00:00-08:00,35,54,5.4
2025-01-27T21:30:00-08:00,36,54,5.3
2025-01-27T22:00:00-08:00,37,53,8.3
2025-01-27T22:30:00-08:00,38,52,3.6
2025-01-27T23:00:00-08:00,39,52,4.8
2025-01-27T23:30:00-08:00,40,51,4.4
2025-01-28T00:00:00-08:00,41,50,4.4
2025-01-28T00:30:00-08:00,42,50,4.2
2025-01-28T01:00:00-08:00,43,49,4.6
2025-01-28T01:30:00-08:00,45,49,5.1
2025-01-28T02:00:00-08:00,46,48,4.5
2025-01-28T02:30:00-08:00,48,48,5.4
2025-01-28T03:00:00-08:00,49,47,4.9
2025-01-28T03:30:00-08:00,50,47,3.9
2025-01-28T04:00:00-08:00,51,47,3.8
2025-01-28T04:30:00-08:00,53,47,4.3
2025-01-28T05:00:00-08:00,54,46,3.5
2025-01-28T05:30:00-08:00,55,46,4
2025-01-28T06:00:00-08:00,55,46,5.3
2025-01-28T06:30:00-08:00,55,45,5.8
2025-01-28T07:00:00-08:00,56,45,5.7
2025-01-28T07:30:00-08:00,57,45,5.6
2025-01-28T08:00:00-08:00,57,47,6.3
2025-01-28T08:30:00-08:00,50,55,4.7
2025-01-28T09:00:00-08:00,28,77,4.9
2025-01-28T09:30:00-08:00,25,77,9.3
2025-01-28T10:00:00-08:00,23,77,10.7
2025-01-28T10:30:00-08:00,23,77,10.2
2025-01-28T11:00:00-08:00,26,75,10.2
2025-01-28T11:30:00-08:00,26,75,9.4
2025-01-28T12:00:00-08:00,25,76,7.7
2025-01-28T12:30:00-08:00,20,86,6.6
2025-01-28T13:00:00-08:00,16,92,7.5
2025-01-28T13:30:00-08:00,17,93,6.5
2025-01-28T14:00:00-08:00,18,90,5.9
2025-01-28T14:30:00-08:00,16,88,4.7
2025-01-28T15:00:00-08:00,19,82,4.6
2025-01-28T15:30:00-08:00,25,77,3.8
2025-01-28T16:00:00-08:00,32,73,3.6
2025-01-28T16:30:00-08:00,37,70,2.8
2025-01-28T17:00:00-08:00,41,66,2.5
2025-01-28T17:30:00-08:00,46,63,2.9
2025-01-28T18:00:00-08:00,52,62,3
2025-01-28T18:30:00-08:00,57,60,3.4
2025-01-28T19:00:00-08:00,59,59,3.8
2025-01-28T19:30:00-08:00,61,59,3.8
2025-01-28T20:00:00-08:00,62,59,3.5
2025-01-28T20:30:00-08:00,63,58,4.1
2025-01-28T21:00:00-08:00,63,58,4.5
2025-01-28T21:30:00-08:00,65,57,4.2
2025-01-28T22:00:00-08:00,67,56,4.2
2025-01-28T22:30:00-08:00,67,56,4.5
2025-01-28T23:00:00-08:00,67,56,5.1
2025-01-28T23:30:00-08:00,67,55,5.9
2025-01-29T00:00:00-08:00,67,54,7.6
2025-01-29T00:30:00-08:00,69,54,8.2
2025-01-29T01:00:00-08:00,69,54,13.4
2025-01-29T01:30:00-08:00,69,55,11.1
2025-01-29T02:00:00-08:00,68,55,9.4
2025-01-29T02:30:00-08:00,68,55,10.4
2025-01-29T03:00:00-08:00,68,56,10.3
2025-01-29T03:30:00-08:00,67,56,10.8
2025-01-29T04:00:00-08:00,66,56,13.9
2025-01-29T04:30:00-08:00,64,56,18.8
2025-01-29T05:00:00-08:00,64,56,20.2
2025-01-29T05:30:00-08:00,63,56,18.2
2025-01-29T06:00:00-08:00,61,56,16.5
2025-01-29T06:30:00-08:00,59,56,13.1
2025-01-29T07:00:00-08:00,59,56,12.1
2025-01-29T07:30:00-08:00,59,56,14.5
2025-01-29T08:00:00-08:00,58,56,15.2
2025-01-29T08:30:00-08:00,57,56,13
2025-01-29T09:00:00-08:00,56,56,14.3
2025-01-29T09:30:00-08:00,55,57,16.8
2025-01-29T10:00:00-08:00,53,58,18.7
2025-01-29T10:30:00-08:00,51,59,16.2
2025-01-29T11:00:00-08:00,49,60,13.2
2025-01-29T11:30:00-08:00,47,61,9.3
2025-01-29T12:00:00-08:00,44,64,7.6
2025-01-29T12:30:00-08:00,41,67,9
2025-01-29T13:00:00-08:00,32,78,9.1
2025-01-29T13:30:00-08:00,26,84,8.5
2025-01-29T14:00:00-08:00,24,85,7.5
2025-01-29T14:30:00-08:00,25,82,6.4
2025-01-29T15:00:00-08:00,29,76,7
2025-01-29T15:30:00-08:00,32,73,7.2
2025-01-29T16:00:00-08:00,34,70,6.4
2025-01-29T16:30:00-08:00,37,68,7.4
2025-01-29T17:00:00-08:00,40,65,10.2
2025-01-29T17:30:00-08:00,45,63,6.6
2025-01-29T18:00:00-08:00,49,61,5.8
2025-01-29T18:30:00-08:00,52,59,5.7
2025-01-29T19:00:00-08:00,54,58,5.7
2025-01-29T19:30:00-08:00,55,58,7.7
2025-01-29T20:00:00-08:00,58,57,8.8
2025-01-29T20:30:00-08:00,60,56,10.4
2025-01-29T21:00:00-08:00,61,56,10.3
2025-01-29T21:30:00-08:00,61,55,19.4
2025-01-29T22:00:00-08:00,62,56,16.4
2025-01-29T22:30:00-08:00,61,56,11.7
2025-01-29T23:00:00-08:00,61,56,13.1
2025-01-29T23:30:00-08:00,61,57,16.4
2025-01-30T00:00:00-08:00,61,57,12.5
2025-01-30T00:30:00-08:00,61,57,12
2025-01-30T01:00:00-08:00,62,57,11.3
2025-01-30T01:30:00-08:00,62,57,10.4
2025-01-30T02:00:00-08:00,62,57,8.6
2025-01-30T02:30:00-08:00,61,57,9.5
2025-01-30T03:00:00-08:00,62,57,9.4
2025-01-30T03:30:00-08:00,61,57,8.1
2025-01-30T04:00:00-08:00,60,57,8.8
2025-01-30T04:30:00-08:00,59,57,8.8
2025-01-30T05:00:00-08:00,57,57,9.6
2025-01-30T05:30:00-08:00,57,57,11.1
2025-01-30T06:00:00-08:00,56,57,11.6
2025-01-30T06:30:00-08:00,55,57,11
2025-01-30T07:00:00-08:00,54,57,9.9
2025-01-30T07:30:00-08:00,53,57,9.5
2025-01-30T08:00:00-08:00,52,57,12
2025-01-30T08:30:00-08:00,52,57,11.8
2025-01-30T09:00:00-08:00,52,57,13
2025-01-30T09:30:00-08:00,51,58,15.5
2025-01-30T10:00:00-08:00,50,58,17.3
2025-01-30T10:30:00-08:00,47,60,17
2025-01-30T11:00:00-08:00,46,61,17.5
2025-01-30T11:30:00-08:00,45,61,17.6
2025-01-30T12:00:00-08:00,45,61,16.7
2025-01-30T12:30:00-08:00,43,62,11.3
2025-01-30T13:00:00-08:00,35,71,6.1
2025-01-30T13:30:00-08:00,27,80,4.4
2025-01-30T14:00:00-08:00,25,82,4.4
2025-01-30T14:30:00-08:00,24,80,4.4
2025-01-30T15:00:00-08:00,28,75,4.6
2025-01-30T15:30:00-08:00,31,71,4.8
2025-01-30T16:00:00-08:00,32,69,5.4
2025-01-30T16:30:00-08:00,35,67,5.1
2025-01-30T17:00:00-08:00,38,65,6
2025-01-30T17:30:00-08:00,41,62,6.7
2025-01-30T18:00:00-08:00,44,60,5.6
2025-01-30T18:30:00-08:00,46,59,7.2
2025-01-30T19:00:00-08:00,48,58,7.2
2025-01-30T19:30:00-08:00,50,57,7
2025-01-30T20:00:00-08:00,52,56,8.1
2025-01-30T20:30:00-08:00,54,55,7.8
2025-01-30T21:00:00-08:00,55,55,8.2
2025-01-30T21:30:00-08:00,57,54,8.6
2025-01-30T22:00:00-08:00,59,54,10.1
2025-01-30T22:30:00-08:00,59,54,12
2025-01-30T23:00:00-08:00,59,54,7.8
2025-01-30T23:30:00-08:00,60,54,6.4
2025-01-31T00:00:00-08:00,60,54,9.7
2025-01-31T00:30:00-08:00,61,54,6.8
2025-01-31T01:00:00-08:00,62,54,8.9
2025-01-31T01:30:00-08:00,62,54,9.4
2025-01-31T02:00:00-08:00,63,54,8.4
2025-01-31T02:30:00-08:00,64,54,9.6
2025-01-31T03:00:00-08:00,64,53,10.4
2025-01-31T03:30:00-08:00,64,53,10.7
2025-01-31T04:00:00-08:00,65,53,11.8
2025-01-31T04:30:00-08:00,65,54,12.7
2025-01-31T05:00:00-08:00,64,54,15
2025-01-31T05:30:00-08:00,64,54,16.7
2025-01-31T06:00:00-08:00,64,54,15.6
2025-01-31T06:30:00-08:00,63,55,12.7
2025-01-31T07:00:00-08:00,63,55,12.2
2025-01-31T07:30:00-08:00,62,55,11.3
2025-01-31T08:00:00-08:00,64,56,11.7
2025-01-31T08:30:00-08:00,65,56,10.6
2025-01-31T09:00:00-08:00,61,57,11.9
2025-01-31T09:30:00-08:00,59,58,13.3
2025-01-31T10:00:00-08:00,58,58,12.5
2025-01-31T10:30:00-08:00,60,59,12
2025-01-31T11:00:00-08:00,61,60,11.2
2025-01-31T11:30:00-08:00,61,60,12.7
2025-01-31T12:00:00-08:00,59,61,10.7
2025-01-31T12:30:00-08:00,57,61,8.6
2025-01-31T13:00:00-08:00,56,62,8.4
2025-01-31T13:30:00-08:00,61,61,9.3
2025-01-31T14:00:00-08:00,72,60,12.2
2025-01-31T14:30:00-08:00,77,60,7.4
2025-01-31T15:00:00-08:00,80,60,4
2025-01-31T15:30:00-08:00,83,60,3.1
2025-01-31T16:00:00-08:00,82,60,2.9
2025-01-31T16:30:00-08:00,81,61,4.7
2025-01-31T17:00:00-08:00,80,61,4.5
2025-01-31T17:30:00-08:00,82,61,3.9
2025-01-31T18:00:00-08:00,83,61,4.5
2025-01-31T18:30:00-08:00,86,61,12.6
2025-01-31T19:00:00-08:00,85,61,5.1
2025-01-31T19:30:00-08:00,86,61,4.3
2025-01-31T20:00:00-08:00,87,61,4.6
2025-01-31T20:30:00-08:00,88,62,4.3
2025-01-31T21:00:00-08:00,87,62,3.9
2025-01-31T21:30:00-08:00,87,62,4
2025-01-31T22:00:00-08:00,85,62,4.3
2025-01-31T22:30:00-08:00,84,63,3.7
2025-01-31T23:00:00-08:00,84,63,3.9
2025-01-31T23:30:00-08:00,83,63,4.6
2025-02-01T00:00:00-08:00,83,63,4
2025-02-01T00:30:00-08:00,84,63,3.3
2025-02-01T01:00:00-08:00,85,63,3.1
2025-02-01T01:30:00-08:00,83,63,4.3
2025-02-01T02:00:00-08:00,84,63,4.2
2025-02-01T02:30:00-08:00,87,62,4.2
2025-02-01T03:00:00-08:00,87,62,4.6
2025-02-01T03:30:00-08:00,88,62,5.4
2025-02-01T04:00:00-08:00,91,62,5
2025-02-01T04:30:00-08:00,93,62,5.3
2025-02-01T05:00:00-08:00,95,62,6.1
2025-02-01T05:30:00-08:00,96,62,5.9
2025-02-01T06:00:00-08:00,98,62,4.1
2025-02-01T06:30:00-08:00,98,63,3.1
2025-02-01T07:00:00-08:00,98,63,3.5
2025-02-01T07:30:00-08:00,98,63,4.5
2025-02-01T08:00:00-08:00,96,63,8.4
2025-02-01T08:30:00-08:00,88,63,14.1
2025-02-01T09:00:00-08:00,88,63,15
2025-02-01T09:30:00-08:00,82,64,11.6
2025-02-01T10:00:00-08:00,73,64,9.3
2025-02-01T10:30:00-08:00,69,64,9.7
2025-02-01T11:00:00-08:00,66,64,10.2
2025-02-01T11:30:00-08:00,67,65,9.2
2025-02-01T12:00:00-08:00,75,64,9.3
2025-02-01T12:30:00-08:00,95,63,7.8
2025-02-01T13:00:00-08:00,100,63,5.6
2025-02-01T13:30:00-08:00,100,64,3.7
2025-02-01T14:00:00-08:00,100,64,0.9
2025-02-01T14:30:00-08:00,100,64,2.1
2025-02-01T15:00:00-08:00,100,65,1.7
